Date,Time,RMSSD,Coverage,HF,LF
2024-03-05,02:00:00,91.762,1.006,1217.812,783.73
2024-03-05,02:05:00,105.402,1.004,1723.507,974.959
2024-03-05,02:10:00,94.711,1.003,1450.146,1185.965
2024-03-05,02:15:00,90.648,1.006,1297.704,1349.494
2024-03-05,02:20:00,91.744,1.001,1489.368,1006.825
2024-03-05,02:25:00,94.505,1.006,1742.235,1199.583
2024-03-05,02:30:00,93.82,1.002,1543.489,994.538
2024-03-05,02:35:00,109.713,0.935,1475.047,1520.028
2024-03-05,02:40:00,112.17,0.932,1948.128,3369.224
2024-03-05,02:45:00,102.468,0.94,1171.756,2134.316
2024-03-05,02:50:00,100.485,1.003,1631.363,1903.442
2024-03-05,02:55:00,92.263,0.89,1472.783,1075.977
2024-03-05,03:00:00,100.203,1.002,1460.825,4097.898
2024-03-05,03:05:00,88.291,1.004,1091.414,4896.605
2024-03-05,03:10:00,47.687,1.003,237.824,1314.249
2024-03-05,03:15:00,87.265,0.926,1354.416,5002.313
2024-03-05,03:20:00,67.785,0.919,469.014,3174.546
2024-03-05,03:25:00,82.514,0.808,1816.917,5026.477
2024-03-05,03:30:00,54.406,0.918,337.233,2888.385
2024-03-05,03:35:00,66.424,1.005,617.322,779.31
2024-03-05,03:40:00,62.461,1.003,666.657,833.385
2024-03-05,03:45:00,71.983,0.975,810.302,2081.426
2024-03-05,03:50:00,87.723,0.957,783.985,6691.689
2024-03-05,03:55:00,121.685,0.961,1901.474,1677.403
2024-03-05,04:00:00,104.244,1.005,1393.96,726.592
2024-03-05,04:05:00,108.866,0.998,1542.752,2821.537
2024-03-05,04:10:00,104.203,0.927,1484.981,1927.388
2024-03-05,04:15:00,118.723,0.97,2054.413,4490.91
2024-03-05,04:40:00,98.411,0.878,1074.144,4900.179
2024-03-05,04:45:00,98.011,0.996,1005.859,2359.056
2024-03-05,04:50:00,92.075,0.936,1178.503,2216.179
2024-03-05,05:05:00,89.134,0.704,970.736,2284.752
2024-03-05,05:10:00,87.863,1.005,867.252,2862.815
2024-03-05,05:15:00,89.264,1.003,825.078,2847.03
2024-03-05,05:20:00,102.062,0.915,1642.629,3659.644
2024-03-05,05:25:00,86.897,1.004,1135.668,752.016
2024-03-05,05:30:00,103.198,0.821,1104.153,4809.071
2024-03-05,05:35:00,91.247,0.949,1136.176,1940.07
2024-03-05,05:40:00,95.301,0.978,1452.33,3661.198
2024-03-05,05:45:00,72.003,0.973,819.674,2731.455
2024-03-05,05:50:00,104.006,0.903,1763.937,2804.448
2024-03-05,05:55:00,122.694,0.948,2526.89,4790.019
2024-03-05,06:00:00,114.774,0.783,1830.822,3740.489
2024-03-05,06:15:00,91.246,0.92,1012.209,2947.023
2024-03-05,06:20:00,94.897,0.975,1010.832,6305.628
2024-03-05,06:25:00,96.148,0.998,1344.87,1312.725
2024-03-05,06:30:00,93.972,0.92,1313.297,10447.239
2024-03-05,06:35:00,87.327,0.916,1231.134,3708.739
2024-03-05,06:40:00,98.348,0.934,1466.569,4213.194
2024-03-05,06:45:00,82.431,0.992,962.083,3693.702
2024-03-05,06:55:00,80.197,0.854,543.707,1907.894
2024-03-05,07:00:00,107.199,1.006,1946.306,5136.446
2024-03-05,07:05:00,75.908,0.903,470.099,4525.016
2024-03-05,07:10:00,71.835,0.948,1079.923,1913.292
2024-03-05,07:15:00,75.078,0.994,984.854,3208.888
2024-03-05,07:20:00,105.955,0.905,1445.435,3411.298
2024-03-05,07:25:00,71.704,0.989,595.501,3523.331
2024-03-06,03:20:00,99.04,0.929,1258.052,2894.006
