Date,Time,SPO2 Value,DateTime,Wellness Index
2024-02-17,04:03:33,94.1,2024-02-17 04:03:33,0.587412587412587
2024-02-17,04:04:33,93.6,2024-02-17 04:04:33,0.552447552447552
2024-02-17,04:05:33,93.3,2024-02-17 04:05:33,0.5314685314685311
2024-02-17,04:06:33,92.4,2024-02-17 04:06:33,0.4685314685314688
2024-02-17,04:07:33,91.8,2024-02-17 04:07:33,0.4265734265734263
2024-02-17,05:51:33,96.8,2024-02-17 05:51:33,0.776223776223776
2024-02-17,05:52:33,97.3,2024-02-17 05:52:33,0.8111888111888109
2024-02-17,05:53:33,97.8,2024-02-17 05:53:33,0.8461538461538459
2024-02-17,05:54:33,97.8,2024-02-17 05:54:33,0.8461538461538459
2024-02-17,05:55:33,97.4,2024-02-17 05:55:33,0.8181818181818186
2024-02-17,05:56:33,97.0,2024-02-17 05:56:33,0.7902097902097902
2024-02-17,05:57:33,96.9,2024-02-17 05:57:33,0.7832167832167836
2024-02-17,05:58:33,97.3,2024-02-17 05:58:33,0.8111888111888109
2024-02-17,05:59:33,97.2,2024-02-17 05:59:33,0.8041958041958044
2024-02-17,06:00:33,96.9,2024-02-17 06:00:33,0.7832167832167836
2024-02-17,06:01:33,96.7,2024-02-17 06:01:33,0.7692307692307694
2024-02-17,06:02:33,96.8,2024-02-17 06:02:33,0.776223776223776
2024-02-17,06:03:33,96.8,2024-02-17 06:03:33,0.776223776223776
2024-02-17,06:04:33,96.8,2024-02-17 06:04:33,0.776223776223776
2024-02-17,06:05:33,97.0,2024-02-17 06:05:33,0.7902097902097902
2024-02-17,06:06:33,97.0,2024-02-17 06:06:33,0.7902097902097902
2024-02-17,06:08:33,97.1,2024-02-17 06:08:33,0.7972027972027967
2024-02-17,06:09:33,97.4,2024-02-17 06:09:33,0.8181818181818186
2024-02-17,06:10:33,97.1,2024-02-17 06:10:33,0.7972027972027967
2024-02-17,06:11:33,96.9,2024-02-17 06:11:33,0.7832167832167836
2024-02-17,06:12:33,96.1,2024-02-17 06:12:33,0.7272727272727268
2024-02-17,06:13:33,95.4,2024-02-17 06:13:33,0.6783216783216787
2024-02-17,06:14:33,95.0,2024-02-17 06:14:33,0.6503496503496503
2024-02-17,06:15:33,94.7,2024-02-17 06:15:33,0.6293706293706295
2024-02-17,06:16:33,94.4,2024-02-17 06:16:33,0.6083916083916087
2024-02-17,06:17:33,94.4,2024-02-17 06:17:33,0.6083916083916087
2024-02-17,06:18:33,94.2,2024-02-17 06:18:33,0.5944055944055945
2024-02-17,06:19:33,94.0,2024-02-17 06:19:33,0.5804195804195803
2024-02-17,06:20:33,93.7,2024-02-17 06:20:33,0.5594405594405596
2024-02-17,06:21:33,93.6,2024-02-17 06:21:33,0.552447552447552
2024-02-17,06:22:33,94.0,2024-02-17 06:22:33,0.5804195804195803
2024-02-17,06:23:33,94.4,2024-02-17 06:23:33,0.6083916083916087
2024-02-17,06:24:33,94.5,2024-02-17 06:24:33,0.6153846153846153
2024-02-17,06:25:33,94.1,2024-02-17 06:25:33,0.587412587412587
2024-02-17,06:26:33,93.8,2024-02-17 06:26:33,0.5664335664335661
2024-02-17,06:27:33,93.7,2024-02-17 06:27:33,0.5594405594405596
2024-02-17,06:28:33,94.0,2024-02-17 06:28:33,0.5804195804195803
2024-02-17,06:29:33,94.3,2024-02-17 06:29:33,0.6013986013986011
2024-02-17,06:30:33,94.6,2024-02-17 06:30:33,0.622377622377622
2024-02-17,06:31:33,94.6,2024-02-17 06:31:33,0.622377622377622
2024-02-17,06:32:33,94.8,2024-02-17 06:32:33,0.6363636363636361
2024-02-17,06:33:33,95.6,2024-02-17 06:33:33,0.6923076923076918
2024-02-17,06:34:33,95.7,2024-02-17 06:34:33,0.6993006993006995
2024-02-17,06:35:33,96.1,2024-02-17 06:35:33,0.7272727272727268
2024-02-17,06:36:33,96.5,2024-02-17 06:36:33,0.7552447552447552
2024-02-17,06:37:33,96.5,2024-02-17 06:37:33,0.7552447552447552
2024-02-17,06:38:33,97.0,2024-02-17 06:38:33,0.7902097902097902
2024-02-17,06:39:33,97.4,2024-02-17 06:39:33,0.8181818181818186
2024-02-17,06:40:33,97.7,2024-02-17 06:40:33,0.8391608391608393
2024-02-17,06:55:33,97.1,2024-02-17 06:55:33,0.7972027972027967
2024-02-17,06:56:33,97.3,2024-02-17 06:56:33,0.8111888111888109
2024-02-17,06:57:33,97.2,2024-02-17 06:57:33,0.8041958041958044
2024-02-17,06:58:33,97.3,2024-02-17 06:58:33,0.8111888111888109
2024-02-17,06:59:33,97.5,2024-02-17 06:59:33,0.8251748251748251
2024-02-17,07:00:33,97.5,2024-02-17 07:00:33,0.8251748251748251
2024-02-17,07:01:33,97.4,2024-02-17 07:01:33,0.8181818181818186
2024-02-17,07:02:33,98.2,2024-02-17 07:02:33,0.8741258741258743
2024-02-17,07:03:33,98.5,2024-02-17 07:03:33,0.8951048951048951
2024-02-17,07:06:33,98.1,2024-02-17 07:06:33,0.8671328671328667
2024-02-17,07:07:33,98.6,2024-02-17 07:07:33,0.9020979020979016
2024-02-17,07:08:33,98.4,2024-02-17 07:08:33,0.8881118881118885
2024-02-17,07:34:33,97.0,2024-02-17 07:34:33,0.7902097902097902
2024-02-17,07:36:33,97.4,2024-02-17 07:36:33,0.8181818181818186
2024-02-17,07:37:33,97.6,2024-02-17 07:37:33,0.8321678321678317
2024-02-17,07:38:33,97.7,2024-02-17 07:38:33,0.8391608391608393
2024-02-17,07:39:33,97.5,2024-02-17 07:39:33,0.8251748251748251
2024-02-17,07:40:33,97.4,2024-02-17 07:40:33,0.8181818181818186
2024-02-17,07:41:33,97.3,2024-02-17 07:41:33,0.8111888111888109
2024-02-17,07:42:33,97.3,2024-02-17 07:42:33,0.8111888111888109
2024-02-17,07:43:33,98.0,2024-02-17 07:43:33,0.8601398601398601
2024-02-17,07:44:33,97.9,2024-02-17 07:44:33,0.8531468531468536
